City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
290,Bubaque,GW,78.51,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
291,Pontianak,ID,84.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
296,Beira,MZ,77.09,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
298,Dakar,SN,79.68,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
300,Port Blair,IN,82.44,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
304,Daru,PG,85.6,scattered clouds,-9.0763,143.2092,Daru Lodge
308,Kavaratti,IN,79.59,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
319,Tautira,PF,82.42,overcast clouds,-17.7333,-149.15,Pension Oaoa
320,Phan Thiet,VN,83.17,scattered clouds,10.9333,108.1,Hotel Saigon-PT
326,Puerto Escondido,MX,77.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
330,Kutoarjo,ID,81.88,overcast clouds,-7.7169,109.9128,Massagus Hotel
335,Noumea,NC,84.99,light rain,-22.2763,166.4572,Hôtel Le Lagon
343,Tawau,MY,84.33,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
346,Albury,AU,86.32,clear sky,-36.0833,146.9167,Albury Georgian Motel & Suites
354,Cidreira,BR,76.96,few clouds,-30.1811,-50.2056,Hotel Castelo
355,Biak,ID,81.54,overcast clouds,-0.9131,122.8766,Penginapan Kim
356,Tecoanapa,MX,75.99,few clouds,16.5167,-98.75,Hotel Manglares
357,Mahebourg,MU,83.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
360,Banda Aceh,ID,82.17,few clouds,5.5577,95.3222,Sulthan Hotel International
362,Tam Ky,VN,82.38,few clouds,15.5667,108.4833,Khách Sạn Đông Á
371,Hambantota,LK,75.34,scattered clouds,6.1241,81.1185,Bungalow 63
373,Gualeguay,AR,79.38,few clouds,-33.1416,-59.3097,Faro del Lago
385,Bocas Del Toro,PA,77.49,scattered clouds,9.3333,-82.25,Hotel Bocas del Toro
387,Bell Ville,AR,76.66,scattered clouds,-32.6259,-62.6887,Hotel Central
397,Imbituba,BR,80.49,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
401,Alofi,NU,84.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
405,Bathsheba,BB,75.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
411,Ugoofaaru,MV,79.75,scattered clouds,5.6667,73.0,Ungoofaaru Inn
417,Basco,PH,75.78,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
422,Vanimo,PG,76.21,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
427,San Policarpo,PH,79.66,overcast clouds,12.1791,125.5072,Agapita M. Nicart
432,Galesong,ID,80.62,overcast clouds,-5.3166,119.3661,Sapriadi Appy
437,Kupang,ID,86.58,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
447,Puerto Ayacucho,VE,77.95,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
454,Kulhudhuffushi,MV,79.99,overcast clouds,6.6221,73.07,Haajy Guest House 1
457,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
458,Mandera,KE,75.83,overcast clouds,3.9366,41.867,Mwalimu Guest mandera
459,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
465,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
469,Tual,ID,81.9,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
472,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
478,Kantang,TH,84.29,few clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
480,Lorengau,PG,85.41,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
486,Kuching,MY,86.22,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
488,Gigmoto,PH,78.06,light rain,13.7796,124.39,Cj's Travellers Inn
492,Ballina,AU,76.96,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
494,Buala,SB,85.82,light rain,-8.145,159.5921,Maringe Lagoon Lodge
499,Sokoni,TZ,81.27,moderate rain,-6.4333,39.55,Ujamaa Beach Resort
500,Anito,PH,78.37,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
502,Sabang,ID,81.75,few clouds,5.8933,95.3214,Hotel Citra
503,Mlonggo,ID,85.89,overcast clouds,-6.5333,110.7,Asia Metal Art
