City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
641,Mae Hong Son,19.3003,97.9685,291.23,77,20,0.0,few clouds,TH,2022-01-22 02:46:05
642,Bethlehem,-1.4558,-48.5044,298.17,88,0,2.57,clear sky,BR,2022-01-22 02:42:28
643,Shirokiy,49.758,129.523,251.35,94,98,1.15,overcast clouds,RU,2022-01-22 02:47:06
644,Knysna,-34.0363,23.0471,295.36,86,0,2.05,clear sky,ZA,2022-01-22 02:47:06
645,Reconquista,-29.15,-59.65,306.4,33,42,4.0,scattered clouds,AR,2022-01-22 02:47:06
646,Ipanema,-30.1391,-51.2244,300.52,86,20,5.14,few clouds,BR,2022-01-22 02:47:07
647,Karpogory,64.0019,44.4451,263.77,96,99,2.17,overcast clouds,RU,2022-01-22 02:47:07
648,Inhambane,-23.865,35.3833,297.69,68,96,6.14,light rain,MZ,2022-01-22 02:47:07
649,Dalvik,65.9702,-18.5286,280.11,81,97,18.52,overcast clouds,IS,2022-01-22 02:47:08
650,Anshun,26.25,105.9333,284.85,80,91,7.21,overcast clouds,CN,2022-01-22 02:47:08
651,Rantauprapat,2.1,99.8333,301.36,71,84,1.09,broken clouds,ID,2022-01-22 02:47:08
652,Morondava,-20.2833,44.2833,298.68,71,83,2.27,broken clouds,MG,2022-01-22 02:47:09
653,Maniitsoq,65.4167,-52.9,263.5,70,100,5.85,overcast clouds,GL,2022-01-22 02:47:09
654,Wentzville,38.8114,-90.8529,266.97,77,28,2.07,scattered clouds,US,2022-01-22 02:47:09
655,Kaeo,-35.1,173.7833,298.89,62,45,4.93,scattered clouds,NZ,2022-01-22 02:47:09
656,Luz,-19.8014,-45.6856,294.05,88,8,1.08,clear sky,BR,2022-01-22 02:47:10
657,Brawley,32.9787,-115.5303,293.49,26,0,4.63,clear sky,US,2022-01-22 02:45:26
658,Eagle,43.6954,-116.354,275.55,87,0,0.0,clear sky,US,2022-01-22 02:43:05
659,Dhidhdhoo,6.8833,73.1,299.9,69,100,3.33,overcast clouds,MV,2022-01-22 02:47:10
660,Jamalpur,24.9167,89.9333,291.83,59,41,2.99,scattered clouds,BD,2022-01-22 02:47:11
661,Lokosovo,61.1333,74.8167,262.62,95,100,3.2,light snow,RU,2022-01-22 02:47:11
662,Yuksekova,37.5736,44.2872,254.5,66,4,1.41,clear sky,TR,2022-01-22 02:47:11
663,Manicore,-5.8092,-61.3003,296.56,97,100,0.91,heavy intensity rain,BR,2022-01-22 02:47:12
664,Ondjiva,-17.0667,15.7333,293.57,82,100,1.58,overcast clouds,AO,2022-01-22 02:47:12
665,Qunduz,36.729,68.857,275.06,97,100,3.92,overcast clouds,AF,2022-01-22 02:43:06
666,Eucaliptus,-17.5833,-67.5167,282.63,74,87,5.31,overcast clouds,BO,2022-01-22 02:47:12
667,Goulburn,-34.75,149.7167,296.01,44,5,4.96,clear sky,AU,2022-01-22 02:47:12
668,Bitung,1.4451,125.1824,301.62,68,100,3.58,overcast clouds,ID,2022-01-22 02:47:13
669,Pedernales,18.0384,-71.744,297.99,68,5,2.73,clear sky,DO,2022-01-22 02:43:04
670,Huntington Beach,33.6603,-117.9992,294.32,27,0,2.68,clear sky,US,2022-01-22 02:47:13
671,Crotone,39.0851,17.1178,277.0,58,90,12.73,overcast clouds,IT,2022-01-22 02:47:13
672,Shiyan,32.6475,110.7781,275.1,83,100,1.67,overcast clouds,CN,2022-01-22 02:47:14
673,Shingu,33.7333,135.9833,280.7,40,68,1.44,broken clouds,JP,2022-01-22 02:47:14
674,Yashkul,46.1711,45.3435,272.74,88,97,6.78,overcast clouds,RU,2022-01-22 02:47:14
675,Puerto Cabezas,14.0351,-83.3888,296.81,90,5,2.93,clear sky,NI,2022-01-22 02:47:15
676,Loreto,22.2667,-101.9667,285.34,42,99,1.12,overcast clouds,MX,2022-01-22 02:47:15
677,Samarai,-10.6167,150.6667,302.68,65,99,2.16,overcast clouds,PG,2022-01-22 02:47:15
